	Entity	Year	Total meat quantity (kg/capita/yr)	Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (Number)
8145	Romania	1990	73.23	6825.056434165431
8146	Romania	1991	64.48	6913.031400758708
8147	Romania	1992	58.16	7410.609661687306
8148	Romania	1993	56.4	7599.861284368373
8149	Romania	1994	54.300000000000004	7805.452198505742
8150	Romania	1995	54.03	8152.745411323696
8151	Romania	1996	50.35	8396.308766571641
8152	Romania	1997	50.19	8552.089046155072
8153	Romania	1998	53.900000000000006	8284.352447247697
8154	Romania	1999	50.209999999999994	8086.484246939625
8155	Romania	2000	47.419999999999995	8191.299676078687
8156	Romania	2001	48.29	8646.858567967767
8157	Romania	2002	54.25	8953.732999412972
8158	Romania	2003	59.43	9056.379675017262
8159	Romania	2004	53.25	8969.886029243895
8160	Romania	2005	62.480000000000004	9033.17902045026
8161	Romania	2006	61.56999999999999	9067.968204208979
8162	Romania	2007	61.59	9156.109170721247
8163	Romania	2008	61.68000000000001	9620.488457693122
8164	Romania	2009	65.56	9954.127120354726
8165	Romania	2010	57.76	10083.78995610518
8166	Romania	2011	53.39999999999999	9735.834634940236
8167	Romania	2012	53.42	10020.675379451137
8168	Romania	2013	49.400000000000006	10069.294728325902
8169	Romania	2014	60.089999999999996	10389.711237536168
8170	Romania	2015	63.48	10417.216664516589
8171	Romania	2016	65.86	10551.605476383136
8172	Romania	2017	63.91000000000001	10500.502014026757
